song_id,artist,title,period,genre,ttr,mattr,fk_grade
0028c74d6419,Bijelo dugme,Milovan,sfrj,rok,0.8205128205128205,0.8205128205128205,7.67
5cf3b8cb1a9a,Bijelo dugme,Mogla je biti prosta priča,sfrj,rok,0.6595744680851063,0.76,5.17
6eaf3bc90549,Bijelo dugme,"Mramor, kamen i željezo",sfrj,rok,0.8387096774193549,0.8387096774193549,8.38
31788e890c55,Bijelo dugme,Na zadnjem sjedištu moga auta,sfrj,rok,0.6041666666666666,0.9176842105263159,7.71
238ade43625b,Bijelo dugme,Nakon svih ovih godina,sfrj,rok,0.8769230769230769,0.94125,7.46
bc75de0c2e75,Bijelo dugme,Napile se ulice,sfrj,rok,0.6216216216216216,0.76,7.48
ff40ac837eb8,Bijelo dugme,Ne dese se takve stvari pravom muškarcu,sfrj,rok,0.3764705882352941,0.6728925619834711,5.52
74aa098a7701,Bijelo dugme,Ne gledaj me tako i ne ljubi me više,sfrj,rok,0.6756756756756757,0.7980645161290322,6.25
696002500a79,Bijelo dugme,Ne spavaj mala moja muzika dok svira,sfrj,rok,0.5727272727272728,0.8177049180327869,6.08
9e08b0cee496,Bijelo dugme,Neću to na brzaka,sfrj,rok,0.5078125,0.7934177215189874,8.99
46825b4c569b,Bijelo dugme,Ništa mudro,sfrj,rok,0.7241379310344828,0.8031578947368421,6.04
8b928db29d4d,Bijelo dugme,Noćas je k’o lubenica pun mjesec iznad Bosne,sfrj,rok,0.584070796460177,0.8365625,7.16
f5e64461df96,Bijelo dugme,Odlikaši,sfrj,rok,0.8636363636363636,0.8636363636363636,11.87
bf2826b6943a,Bijelo dugme,Oprosti mi što te volim,sfrj,rok,0.7745098039215687,0.8415094339622642,8.31
1c6ba84650df,Bijelo dugme,Ovaj ples dame biraju,sfrj,rok,0.8314606741573034,0.8845000000000001,7.13
34cafca4d273,Bijelo dugme,Ove ću noći naći blues,sfrj,rok,0.4375,0.6676190476190477,3.75
f4e492853d0a,Bijelo dugme,Padaju zvijezde,sfrj,rok,0.35,0.5995604395604396,10.28
e054ccd6bed4,Bijelo dugme,Patim evo deset dana,sfrj,rok,0.8536585365853658,0.8536585365853658,4.16
ac4b119140a4,Bijelo dugme,Pediculis pubis,sfrj,rok,0.81875,0.9003603603603604,9.08
bc0e870da7e9,Bijelo dugme,Pjesma mom mlađem bratu (iz Niša u proljeće `78),sfrj,rok,0.7671232876712328,0.8708333333333332,5.23
3cb98a2c2a76,Bijelo dugme,Pjesma za malu pticu,sfrj,rok,0.7321428571428571,0.8688888888888889,7.57
d8b72653d9a0,Bijelo dugme,Pljuni i zapjevaj moja Jugoslavijo,sfrj,rok,0.5231788079470199,0.8029411764705883,10.42
1c8f8578fff1,Bijelo dugme,Polubauk polukruži poluevropom,sfrj,rok,0.7894736842105263,0.7775000000000001,11.11
dbb16cedadec,Bijelo dugme,Požurite konji moji,sfrj,rok,0.717391304347826,0.8446511627906976,4.9
edea4770e26d,Bijelo dugme,Pravim budalu od sebe,sfrj,rok,0.5959595959595959,0.7631999999999999,7.59
ee749bfa002b,Bijelo dugme,Pristao sam bi’ću sve što hoće,sfrj,rok,0.5433070866141733,0.6605128205128206,6.17
dd09446cf5f5,Bijelo dugme,Ružica si bila,sfrj,rok,0.5,0.8146478873239437,7.21
731cea7a8e2c,Bijelo dugme,Sanjao sam noćas da te nemam,sfrj,rok,0.7727272727272727,0.8494117647058823,6.76
27d4cb995b32,Bijelo dugme,Selma,sfrj,rok,0.6774193548387096,0.7615384615384616,6.2
42473d74ebbd,Bijelo dugme,Slatko li je curu ljubit tajno,sfrj,rok,0.5645161290322581,0.6808000000000001,6.4
c25f4d205e64,Bijelo dugme,Šta bi dao da si na mom mjestu,sfrj,rok,0.7380952380952381,0.8320000000000001,5.4
8bffedae1c14,Bijelo dugme,Šta je tu je,sfrj,rok,0.6086956521739131,0.58,5.76
edc1c5b76d78,Bijelo dugme,"Sve će to, o mila moja, prekriti ruzmarin snjegovi i šaš",sfrj,rok,0.8,0.8392156862745097,6.76
950dc7ed4c3d,Bijelo dugme,Sve ću da ti dam samo da zaigram,sfrj,rok,0.631578947368421,0.6325000000000001,4.14
562403f0ccd6,Bijelo dugme,Sve ove godine,sfrj,rok,0.7916666666666666,0.8304347826086957,4.85
8c7e30fdaa9a,Bijelo dugme,Svi marš na ples,sfrj,rok,0.5983606557377049,0.7504109589041096,6.17
0297bd61f893,Bijelo dugme,"Tako ti je mala moja, kad ljubi Bosanac",sfrj,rok,0.6796875,0.8572151898734177,7.7
fc404e31058f,Bijelo dugme,"Te noći kad umrem, kad odem, kad me ne bude",sfrj,rok,0.8,0.8583333333333333,7.81
9d05048213ec,Bijelo dugme,Top,sfrj,rok,0.42574257425742573,0.5380769230769231,0.8
36f0ae024c5c,Bijelo dugme,Tramvaj kreće (kako biti heroj u ova šugava vremena),sfrj,rok,0.776595744680851,0.828,7.99
c8006c54eb24,Bijelo dugme,U subotu mala,sfrj,rok,0.6458333333333334,0.6458333333333334,5.41
18e48aab5ddd,Bijelo dugme,U vrijeme otkazanih letova,sfrj,rok,0.7254901960784313,0.72,9.89
faf74110e8a3,Bijelo dugme,Za Esmu,sfrj,rok,0.38311688311688313,0.7874285714285714,8.17
b413a3806ac1,Bijelo dugme,Zamisli,sfrj,rok,0.5783132530120482,0.6900000000000001,9.62
1c624119579a,Bijelo dugme,Zar ne vidiš da pravim budalu od sebe,sfrj,rok,0.4626865671641791,0.7418823529411765,7.99
9978f89e92b5,Bijelo dugme,Zašto me ne podnosi tvoj tata,sfrj,rok,0.6568627450980392,0.749056603773585,6.46
d100f237388a,Bijelo dugme,Zažmiri i broj,sfrj,rok,0.7349397590361446,0.7611764705882352,8.21
2ea7a2b4a9f3,Bijelo dugme,Žuta ruža,sfrj,rok,0.3669724770642202,0.631,11.93
e67867955e59,Divlje jagode,Autostop,sfrj,rok,0.8144329896907216,0.84625,12.09
0b954bde6b3e,Divlje jagode,Bit će bolje,sfrj,rok,0.7017543859649122,0.735,7.53
173ff15280b8,Divlje jagode,Bubi,sfrj,rok,0.6836734693877551,0.8273469387755101,6.05
45d2c006237b,Divlje jagode,Čarobnjaci,sfrj,rok,0.8870967741935484,0.8907692307692308,9.73
29eafa56c885,Divlje jagode,Čekam da sunce zađe,sfrj,rok,0.9302325581395349,0.9302325581395349,7.64
0c719893bdc4,Divlje jagode,Ciganka,sfrj,rok,0.8703703703703703,0.86,6.43
6b9fbe546b8a,Divlje jagode,"Cmokni me, srce",sfrj,rok,0.7792207792207793,0.8671428571428572,7.84
ce422823ab48,Divlje jagode,Da li si ikada mene voljela,sfrj,rok,0.782608695652174,0.738,6.55
53041eb32d22,Divlje jagode,Davno ljeto ’89,sfrj,rok,0.4057971014492754,0.724494382022472,6.6
282313fa5419,Divlje jagode,Dinamit,sfrj,rok,0.7575757575757576,0.7670588235294118,4.27
e10de0d16406,Divlje jagode,Divljakuša,sfrj,rok,0.8253968253968254,0.8242857142857142,9.65
dbe917636f06,Divlje jagode,Divlje jagode,sfrj,rok,0.7884615384615384,0.8000000000000002,8.68
0a0ce4ff2e82,Divlje jagode,Divlji zapad,sfrj,rok,0.7654320987654321,0.88375,6.7
267076457888,Divlje jagode,"Dobro došla, ljubavi",sfrj,rok,0.3674698795180723,0.5782905982905983,7.63
17513bd457dc,Divlje jagode,Dodirni me,sfrj,rok,0.7586206896551724,0.8066666666666666,6.62
8203ba855e8c,Divlje jagode,"Dodirni me, skloni bol",sfrj,rok,0.9038461538461539,0.9,5.49
ce22ffe94fb2,Divlje jagode,Đavolji grad,sfrj,rok,0.8235294117647058,0.828421052631579,6.21
93ceba1efd0c,Divlje jagode,Hopa cupa,sfrj,rok,0.8412698412698413,0.8428571428571427,3.96
66a2a9430f0a,Divlje jagode,Jedina moja,sfrj,rok,0.6379310344827587,0.7066666666666667,8.61
ae9d64129c12,Divlje jagode,Kako si topla i mila,sfrj,rok,0.7222222222222222,0.726086956521739,6.42
93781680ffc5,Divlje jagode,Kap po kap,sfrj,rok,0.6764705882352942,0.870943396226415,6.27
485361a7e750,Divlje jagode,Konji,sfrj,rok,0.8709677419354839,0.8753846153846154,7.36
471ba134fb18,Divlje jagode,Krivo je more,sfrj,rok,0.7377049180327869,0.7733333333333334,5.65
2a3539eb1003,Divlje jagode,Labude kad rata ne bude,sfrj,rok,0.6507936507936508,0.82,6.77
9109df8f7948,Divlje jagode,Lejla,sfrj,rok,0.7966101694915254,0.79,5.18
8b5c905162f8,Divlje jagode,Let na drugi svijet,sfrj,rok,0.75,0.7026666666666667,5.0
7eb40522708d,Divlje jagode,Ljubav može sve,sfrj,rok,0.5465116279069767,0.6983783783783784,6.07
698b36f66ccf,Divlje jagode,London,sfrj,rok,0.6282051282051282,0.5848275862068966,5.45
ed4894bea0e9,Divlje jagode,Marija,sfrj,rok,0.40601503759398494,0.6735714285714286,8.21
46fda59dbe0a,Divlje jagode,"Meni je lijepo, ja volim slijepo",sfrj,rok,0.6307692307692307,0.67875,6.51
a3cc72658cec,Divlje jagode,Metalni radnici,sfrj,rok,0.9,0.9,7.89
c39529a13b2f,Divlje jagode,Moj dilbere,sfrj,rok,0.5434782608695652,0.5434782608695652,6.41
9095c837b331,Divlje jagode,Moja si,sfrj,rok,0.84,0.84,7.13
41741245b7bf,Divlje jagode,Mojoj ljubavi,sfrj,rok,0.8245614035087719,0.835,4.27
c868829e2a41,Divlje jagode,Morison,sfrj,rok,0.9473684210526315,0.9473684210526315,5.32
6f9054935795,Divlje jagode,Motori,sfrj,rok,0.6666666666666666,0.6799999999999999,9.9
023a16e392fb,Divlje jagode,Mrak za dvoje,sfrj,rok,0.875,0.8973333333333334,7.53
e45f248f5021,Divlje jagode,Nasmiješi se,sfrj,rok,0.7671232876712328,0.7858333333333333,6.56
57ec5403fb66,Divlje jagode,Nazovi me,sfrj,rok,0.8375,0.8903225806451613,6.5
d24ac152fea3,Divlje jagode,Ne brini sestro,sfrj,rok,0.6831683168316832,0.8107692307692307,4.72
7c71ef62ea87,Divlje jagode,Ne želiš kraj,sfrj,rok,0.8444444444444444,0.8444444444444444,3.7
45911bc4109b,Divlje jagode,Obuci se,sfrj,rok,0.746268656716418,0.8333333333333334,5.7
c296eed502c4,Divlje jagode,"Osjećam, gola si ispod haljine",sfrj,rok,0.40707964601769914,0.6453125,7.0
45191887f65c,Divlje jagode,Pepeljuga,sfrj,rok,0.8333333333333334,0.9023529411764706,6.41
0345037e608d,Divlje jagode,Piši mi,sfrj,rok,0.7142857142857143,0.7266666666666667,7.42
9d1ea62365b4,Divlje jagode,Potraži put,sfrj,rok,0.6067415730337079,0.681,6.27
fad76ba2709a,Divlje jagode,Sama si,sfrj,rok,0.7966101694915254,0.8019999999999999,7.05
340340a6587d,Divlje jagode,Samo tren,sfrj,rok,0.8205128205128205,0.8875862068965518,4.45
a80588114bb3,Divlje jagode,Šampioni,sfrj,rok,0.95,0.95,11.63
ee3182045d8c,Divlje jagode,"Sarajevo, ti i ja",sfrj,rok,0.7560975609756098,0.8387878787878787,9.92
c3ab771d5e4a,Divlje jagode,Šejla,sfrj,rok,0.9459459459459459,0.9459459459459459,5.31
38a8a18efd07,Divlje jagode,Sjećanja,sfrj,rok,0.8450704225352113,0.8681818181818183,6.9
d3bad12e53c5,Divlje jagode,Šta je to u tebi,sfrj,rok,0.7058823529411765,0.7166666666666667,4.81
d514bc7656a7,Divlje jagode,Sto vijekova,sfrj,rok,0.8928571428571429,0.8885714285714286,11.63
f9f04766fcb2,Divlje jagode,Sve iz inata,sfrj,rok,0.5625,0.5933333333333334,5.67
5d3247802935,Divlje jagode,Svi nisu kao ja,sfrj,rok,0.8428571428571429,0.9152380952380952,8.52
4d793bb9c42f,Divlje jagode,Ti si moj san,sfrj,rok,0.796875,0.8026666666666666,8.64
36ffea9af25e,Divlje jagode,To je sve,sfrj,rok,0.8235294117647058,0.83,6.89
abc1071de594,Divlje jagode,Vatra,sfrj,rok,0.7631578947368421,0.8251851851851852,8.46
382342dbd578,Divlje jagode,Vodarica,sfrj,rok,0.5444444444444444,0.6795121951219512,4.35
608031da0cc8,Divlje jagode,Zagrizi rock ‘n’ roll,sfrj,rok,0.8936170212765957,0.8936170212765957,5.07
8c8d584953be,Divlje jagode,Zauvijek tvoj,sfrj,rok,0.7872340425531915,0.8395555555555556,8.42
9ed73ae68d23,Divlje jagode,Zbog tebe draga,sfrj,rok,0.5636363636363636,0.6166666666666667,6.53
9294ba8da159,Divlje jagode,Želim da te imam,sfrj,rok,0.5412844036697247,0.6976666666666667,6.77
dc23305ae439,Divlje jagode,Zvijezda sjevera,sfrj,rok,0.696969696969697,0.7658823529411765,7.4
cbcb13f84e17,Parni valjak,A gdje je ljubav?,sfrj,rok,0.6692913385826772,0.8474358974358973,7.92
82c702c7ca97,Parni valjak,A ja bih sa vragom sklopio savez,sfrj,rok,0.47470817120622566,0.7069230769230769,6.75
ee316b83558d,Parni valjak,Ajde igraj,sfrj,rok,0.644927536231884,0.8339325842696629,7.41
f290eb3b4bc9,Parni valjak,Ako želim,sfrj,rok,0.3333333333333333,0.5700934579439252,7.38
6a6a2481459d,Parni valjak,Anđeli se dosađuju,sfrj,rok,0.7560975609756098,0.8175675675675675,6.86
806ca3640e55,Parni valjak,Anja,sfrj,rok,0.5,0.7336283185840708,5.47
fe186e7a4291,Parni valjak,Autoput,sfrj,rok,0.8043478260869565,0.8995348837209303,8.59
3b259356a348,Parni valjak,Bijeg,sfrj,rok,0.5504587155963303,0.7923333333333333,8.35
4aa5b25ee170,Parni valjak,Bolja vremena,sfrj,rok,0.4369747899159664,0.6474285714285715,5.4
6b24ee234624,Parni valjak,Čitaj mi sa usana,sfrj,rok,0.7864077669902912,0.852962962962963,7.05
98725f1bc83d,Parni valjak,Crni dani,sfrj,rok,0.6347826086956522,0.7293939393939394,8.51
6432c61059e0,Parni valjak,Depra,sfrj,rok,0.689922480620155,0.86075,9.43
1bc21e468601,Parni valjak,Direktan put za nebo,sfrj,rok,0.7352941176470589,0.828421052631579,6.37
596b0cf42597,Parni valjak,Dixie za pravog gazdu,sfrj,rok,0.5394190871369294,0.8159375,3.47
0433cffc527d,Parni valjak,Dođi,sfrj,rok,0.7752808988764045,0.9025000000000001,10.89
5b1f19640542,Parni valjak,Dok je tebe,sfrj,rok,0.7419354838709677,0.8059090909090909,6.87
7eb572c4883d,Parni valjak,Dosta,sfrj,rok,0.573170731707317,0.7121212121212122,8.25
752994aef345,Parni valjak,Gledam je dok spava,sfrj,rok,0.703125,0.8026666666666666,6.24
e2d26773a2ba,Parni valjak,Godine prolaze,sfrj,rok,0.8313253012048193,0.9329411764705882,8.21
81cdf6583b92,Parni valjak,Hvala ti,sfrj,rok,0.7684210526315789,0.7930434782608695,8.62
59e460957fa0,Parni valjak,Ima dana,sfrj,rok,0.7073170731707317,0.8363636363636364,8.56
e76603b21d4d,Parni valjak,Ivana,sfrj,rok,0.9019607843137255,0.9,7.82
b9f0a7862718,Parni valjak,Ja još čekam,sfrj,rok,0.7428571428571429,0.7838095238095238,5.56
60c276fb051e,Parni valjak,Jesen u meni,sfrj,rok,0.7523809523809524,0.8853571428571428,8.77
b8490fd05d3b,Parni valjak,Kada kola krenu nizbrdo,sfrj,rok,0.6854838709677419,0.8130666666666666,7.17
