artist_name,genre,approx_year
Bijelo Dugme,rok,1983
Riblja Čorba,rok,1981
Lepa Brena,narodna_narodnjacka,1985
Svetlana Ceca Ražnatović,turbo_folk,1996
Dino Merlin,pop,1997
Rasta,hip_hop_rep,2015
Coby,trep,2020
